elapsed_time,movement_counter,adjusted_acceleration,max_acceleration,adjusted_spin,direction_change,direction_change_signal,ball_pos_x,ball_pos_y,ball_pos_z,ball_distance_traveled,movement_time,speed
1.666,11,0.3004877657310361,0.3004877657310361,24.536133000000007,1,1,1723.0,850.0,-840.0,0.0,0.114,2.8421
1.667,12,0.2797990314507033,0.2832565280249826,24.536133000000007,0,1,1676.0,934.0,-934.0,0.096,0.112,3.0857
1.707,12,0.2797990314507033,0.2832565280249826,24.536133000000007,0,1,1676.0,934.0,-934.0,0.0,0.112,3.0857
1.711,12,0.2797990314507033,0.2832565280249826,28.381348000000003,1,1,1676.0,934.0,-934.0,0.0,0.112,3.0857
1.712,12,0.1954799952317479,0.2832565280249826,28.381348000000003,0,1,1676.0,934.0,-934.0,0.0,0.112,3.0857
1.756,12,0.1954799952317479,0.2832565280249826,34.667968999999985,1,1,1676.0,934.0,-934.0,0.0,0.112,3.0857
1.757,12,0.2832565280249826,0.2832565280249826,34.667968999999985,0,1,1676.0,934.0,-934.0,0.0,0.112,3.0857
1.8,12,0.2832565280249826,0.2832565280249826,34.667968999999985,0,1,1676.0,934.0,-934.0,0.0,0.112,3.0857
1.801,12,0.2832565280249826,0.2832565280249826,34.667968999999985,0,1,1676.0,934.0,-934.0,0.0,0.112,3.0857
1.802,12,0.125225212394899,0.2832565280249826,34.667968999999985,0,1,1676.0,934.0,-934.0,0.0,0.112,3.0857
1.816,13,0.125225212394899,0.3920139158752667,34.667968999999985,0,0,1643.0,980.0,-1049.0,0.057,0.149,1.3772
1.82,13,0.125225212394899,0.3920139158752667,34.667968999999985,0,0,1643.0,980.0,-1049.0,0.0,0.149,1.3772
1.846,13,0.1604354886275044,0.3920139158752667,34.667968999999985,0,0,1643.0,980.0,-1049.0,0.0,0.149,1.3772
1.847,13,0.1604354886275044,0.3920139158752667,34.667968999999985,0,0,1643.0,980.0,-1049.0,0.0,0.149,1.3772
1.891,13,0.3920139158752667,0.3920139158752667,34.667968999999985,0,0,1643.0,980.0,-1049.0,0.0,0.149,1.3772
1.93,14,0.3920139158752667,0.3920139158752667,34.667968999999985,0,0,1601.0,1031.0,-1112.0,0.066,0.114,2.0842
1.933,14,0.3920139158752667,0.3920139158752667,34.667968999999985,0,0,1601.0,1031.0,-1112.0,0.0,0.114,2.0842
1.976,14,0.3852013045392333,0.3920139158752667,34.667968999999985,0,0,1601.0,1031.0,-1112.0,0.0,0.114,2.0842
1.977,14,0.3852013045392333,0.3920139158752667,34.667968999999985,0,0,1601.0,1031.0,-1112.0,0.0,0.114,2.0842
1.981,14,0.26722079676014987,0.3920139158752667,34.667968999999985,0,0,1601.0,1031.0,-1112.0,0.0,0.114,2.0842
1.982,14,0.26722079676014987,0.3920139158752667,34.667968999999985,0,0,1601.0,1031.0,-1112.0,0.0,0.114,2.0842
2.004,14,0.26722079676014987,0.3920139158752667,34.667968999999985,0,0,1560.0,1075.0,-1203.0,0.06,0.074,2.0842
2.007,14,0.26722079676014987,0.3920139158752667,34.667968999999985,0,0,1560.0,1075.0,-1203.0,0.0,0.074,2.0842
2.026,14,0.2334694496850098,0.3920139158752667,34.667968999999985,0,0,1560.0,1075.0,-1203.0,0.0,0.074,2.0842
2.041,15,0.2334694496850098,0.2737479145741806,34.667968999999985,0,0,1541.0,1156.0,-1282.0,0.083,0.037,4.6378
2.071,15,0.2334694496850098,0.2737479145741806,34.667968999999985,0,0,1541.0,1156.0,-1282.0,0.0,0.037,4.6378
2.072,15,0.2737479145741806,0.2737479145741806,34.667968999999985,0,0,1541.0,1156.0,-1282.0,0.0,0.037,4.6378
2.115,15,0.2737479145741806,0.2737479145741806,34.667968999999985,0,0,1541.0,1156.0,-1282.0,0.0,0.037,4.6378
2.12,15,0.2737479145741806,0.2737479145741806,34.667968999999985,0,0,1541.0,1156.0,-1282.0,0.0,0.037,4.6378
2.154,16,0.2737479145741806,0.5923615635959825,34.667968999999985,0,0,1528.0,1219.0,-1400.0,0.064,0.113,2.0389
2.161,16,0.4951213877989407,0.5923615635959825,34.667968999999985,0,0,1528.0,1219.0,-1400.0,0.0,0.113,2.0389
2.162,16,0.5923615635959825,0.5923615635959825,34.667968999999985,0,0,1528.0,1219.0,-1400.0,0.0,0.113,2.0389
2.205,16,0.5923615635959825,0.5923615635959825,34.667968999999985,0,0,1528.0,1219.0,-1400.0,0.0,0.113,2.0389
2.206,16,0.4285439740959216,0.5923615635959825,34.667968999999985,0,0,1528.0,1219.0,-1400.0,0.0,0.113,2.0389
2.232,16,0.4285439740959216,0.5923615635959825,34.667968999999985,0,0,1528.0,1219.0,-1400.0,0.0,0.113,2.0389
2.251,16,0.4285439740959216,0.5923615635959825,34.667968999999985,0,0,1528.0,1219.0,-1400.0,0.0,0.113,2.0389
2.252,16,0.3430419557372959,0.5923615635959825,34.667968999999985,0,0,1528.0,1219.0,-1400.0,0.0,0.113,2.0389
2.267,17,0.3430419557372959,0.3659965156814507,34.667968999999985,0,0,1505.0,1271.0,-1520.0,0.057,0.113,1.8159
2.307,17,0.3430419557372959,0.3659965156814507,34.667968999999985,0,0,1505.0,1271.0,-1520.0,0.0,0.113,1.8159
2.341,17,0.3430419557372959,0.3659965156814507,34.667968999999985,0,0,1505.0,1271.0,-1520.0,0.0,0.113,1.8159
2.342,17,0.2450064342525709,0.3659965156814507,34.667968999999985,0,0,1463.0,1283.0,-1620.0,0.044,0.075,1.8159
2.343,17,0.2450064342525709,0.3659965156814507,34.667968999999985,0,0,1463.0,1283.0,-1620.0,0.0,0.075,1.8159
2.386,17,0.3659965156814507,0.3659965156814507,34.667968999999985,0,0,1463.0,1283.0,-1620.0,0.0,0.075,1.8159
2.387,17,0.3659965156814507,0.3659965156814507,34.667968999999985,0,1,1463.0,1283.0,-1620.0,0.0,0.075,1.8159
2.42,17,0.3659965156814507,0.3659965156814507,34.667968999999985,0,1,1463.0,1283.0,-1620.0,0.0,0.075,1.8159
2.431,17,0.3659965156814507,0.3659965156814507,34.667968999999985,0,1,1463.0,1283.0,-1620.0,0.0,0.075,1.8159
2.432,17,0.2743532249338656,0.3659965156814507,34.667968999999985,0,0,1463.0,1283.0,-1620.0,0.0,0.075,1.8159
2.476,17,0.2092865283807342,0.3659965156814507,34.667968999999985,0,0,1463.0,1283.0,-1620.0,0.0,0.075,1.8159
2.477,17,0.2092865283807342,0.3659965156814507,34.667968999999985,0,0,1463.0,1283.0,-1620.0,0.0,0.075,1.8159
2.492,18,0.2092865283807342,0.2397439381616298,34.667968999999985,0,0,1454.0,1349.0,-1754.0,0.067,0.15,1.776
2.52,18,0.2092865283807342,0.2397439381616298,34.667968999999985,0,0,1454.0,1349.0,-1754.0,0.0,0.15,1.776
2.521,18,0.2205320655247554,0.2397439381616298,34.667968999999985,0,0,1454.0,1349.0,-1754.0,0.0,0.15,1.776
2.529,18,0.2205320655247554,0.2397439381616298,34.667968999999985,0,0,1411.0,1304.0,-1810.0,0.062,0.037,1.776
2.532,18,0.2205320655247554,0.2397439381616298,34.667968999999985,0,1,1411.0,1304.0,-1810.0,0.0,0.037,1.776
2.566,18,0.2205320655247554,0.2397439381616298,34.667968999999985,0,1,1411.0,1304.0,-1810.0,0.0,0.037,1.776
