network_time,ax,ay,az,gx,gy,gz,mx,my,mz,qw,qx,qy,qz,posX,posY,posZ,timestamp
146750929108992.0,0.676200448,0.769261568,-0.351076352,-0.03670016,0.00131072,-0.00524288,15.72864,-13.893632,1.31072,0.621682567,0.703813354,0.517858644,-0.053865361,7.314,8.962,7.153,0.0
146751104286347.0,0.676200448,0.769261568,-0.351076352,-0.03670016,0.00131072,-0.00524288,15.72864,-13.893632,1.31072,0.621682567,0.703813354,0.517858644,-0.053865361,7.311,8.96,7.153,0.0
146751247876096.0,0.676069376,0.769327104,-0.351141888,-0.03670016,0.00131072,-0.00589824,15.72864,-13.893632,1.31072,0.621683673,0.703813374,0.517857309,-0.053865177,7.311,8.96,7.153,0.0
146751566643200.0,0.676134912,0.769261568,-0.351141888,-0.03670016,0.00131072,-0.00524288,15.72864,-13.893632,1.31072,0.621684536,0.703812174,0.517857774,-0.053866423,7.311,8.96,7.153,0.0
146751743262394.0,0.676134912,0.769261568,-0.351141888,-0.03670016,0.00131072,-0.00524288,15.72864,-13.893632,1.31072,0.621684536,0.703812174,0.517857774,-0.053866423,7.315,8.962,7.153,0.0
146751885410304.0,0.675872768,0.769196032,-0.350879744,-0.03670016,0.00131072,-0.00524288,15.72864,-13.893632,1.31072,0.62168538,0.703810919,0.51785832,-0.053867805,7.315,8.962,7.153,0.0
146752204177408.0,0.67600384,0.768933888,-0.350748672,-0.03670016,0.00131072,-0.00524288,15.72864,-13.893632,1.31072,0.621686512,0.703809614,0.517858616,-0.053868971,7.315,8.962,7.153,0.0
146752382253823.0,0.67600384,0.768933888,-0.350748672,-0.03670016,0.00131072,-0.00524288,15.72864,-13.893632,1.31072,0.621686512,0.703809614,0.517858616,-0.053868971,7.318,8.963,7.153,0.0
146752522944512.0,0.676069376,0.76906496,-0.351141888,-0.03670016,0.00131072,-0.00524288,15.72864,-13.893632,1.31072,0.621687737,0.703808058,0.517859092,-0.053870558,7.318,8.963,7.153,0.0
146752841711616.0,0.676069376,0.769130496,-0.351207424,-0.03670016,0.00131072,-0.00524288,15.72864,-13.893632,1.31072,0.621688464,0.703806821,0.517859748,-0.05387204,7.318,8.963,7.153,0.0
146753021228129.0,0.676069376,0.769130496,-0.351207424,-0.03670016,0.00131072,-0.00524288,15.72864,-13.893632,1.31072,0.621688464,0.703806821,0.517859748,-0.05387204,7.314,8.965,7.153,0.0
146753160478720.0,0.676265984,0.76906496,-0.351862784,-0.03670016,0.00131072,-0.00524288,15.72864,-13.893632,1.31072,0.621689123,0.703805658,0.517860393,-0.053873442,7.314,8.965,7.153,0.0
146753479245824.0,0.676200448,0.768606208,-0.351993856,-0.03670016,0.00131072,-0.00524288,15.72864,-13.893632,1.31072,0.621688843,0.7038049,0.517861592,-0.053875052,7.314,8.965,7.153,0.0
146753660189997.0,0.676200448,0.768606208,-0.351993856,-0.03670016,0.00131072,-0.00524288,15.72864,-13.893632,1.31072,0.621688843,0.7038049,0.517861592,-0.053875052,7.315,8.963,7.154,0.0
146753798012928.0,0.676134912,0.76873728,-0.352124928,-0.03670016,0.00065536,-0.00524288,15.72864,-13.893632,1.31072,0.621686767,0.703804344,0.51786483,-0.053875137,7.315,8.963,7.154,0.0
146754116780032.0,0.676069376,0.76906496,-0.351993856,-0.03670016,0.00065536,-0.00524288,15.72864,-13.893632,1.31072,0.621684555,0.703803968,0.517868011,-0.053874995,7.315,8.963,7.154,0.0
146754299163909.0,0.676069376,0.76906496,-0.351993856,-0.03670016,0.00065536,-0.00524288,15.72864,-13.893632,1.31072,0.621684555,0.703803968,0.517868011,-0.053874995,7.317,8.965,7.154,0.0
146754435547136.0,0.675938304,0.76972032,-0.351141888,-0.03670016,0.00065536,-0.00524288,15.72864,-13.893632,1.31072,0.621682679,0.703803595,0.517870826,-0.053874466,7.317,8.965,7.154,0.0
146754754314240.0,0.675741696,0.769523712,-0.350748672,-0.03670016,0.00065536,-0.00524288,15.72864,-13.893632,1.31072,0.621682319,0.703802734,0.517872554,-0.053873244,7.317,8.965,7.154,0.0
146754938147522.0,0.675741696,0.769523712,-0.350748672,-0.03670016,0.00065536,-0.00524288,15.72864,-13.893632,1.31072,0.621682319,0.703802734,0.517872554,-0.053873244,7.316,8.964,7.154,0.0
